hour,load
634,178000
635,168100
636,134500
637,97300
638,262200
639,262700
640,40800
641,49200
642,259800
643,250900
644,51600
645,304600
646,274400
647,298400
648,290500
649,143700
650,134000
651,106700
652,128900
653,130000
654,108400
655,125400
656,126700
657,-85100
658,225300
659,226300
660,85200
661,18300
662,174800
663,66200
664,-5600
665,135900
666,183900
667,58500
668,137900
669,247100
670,96500
671,265900
672,137900
673,145200
674,151700
675,135900
676,316600
677,327300
678,309100
679,326600
680,326400
681,-25400
682,151000
683,148300
684,118900
685,-13900
686,219500
687,101700
688,28900
689,169300
690,235800
691,90100
692,47200
693,151100
694,270500
695,303200
696,162300
697,167300
698,169800
699,296900
700,322200
701,325500
702,309900
703,341500
704,354600
705,-83300
706,167000
707,151500
708,117800
709,63200
710,88900
711,97200
712,23500
713,34600
714,93400
715,238600
716,204100
717,159600
718,144100
719,182200
720,190700
721,198900
722,379300
723,186000
724,211900
725,214100
726,375300
727,402500
728,399600
729,-57700
730,190500
731,182100
732,155600
733,12400
734,117200
735,128100
736,110100
737,170800
738,104900
739,212000
740,166300
741,265600
742,109700
743,257400
744,132300
745,245900
746,235000
747,98100
748,120600
749,122200
750,99900
751,120700
752,127200
753,-84000
754,232300
755,109600
756,220000
757,26400
758,61200
759,190300
760,-2300
761,137100
762,183900
763,60900
764,155500
765,127900
766,256800
767,300100
768,160900
769,168600
770,334700
771,325600
772,194800
773,205500
774,369000
775,398700
776,404500
777,57400
778,378900
779,181300
780,138600
781,-1900
782,92500
783,94400
784,14300
785,146700
786,76000
787,214100
788,184600
789,296900
790,131800
791,162500
792,173400
793,187500
794,362900
795,176600
796,207100
797,210800
798,365500
799,390500
800,394000
801,45200
802,349800
803,150300
804,99800
805,16500
806,155200
807,48200
808,-28100
809,98000
810,118000
811,18400
812,-33400
813,63600
814,137500
815,158300
816,66500
817,67100
818,66100
819,142300
820,157900
821,159200
822,145900
823,64700
824,64200
825,-149600
826,29600
827,27100
828,15500
829,-47500
830,8200
831,6600
832,-72200
833,-22300
834,-4300
835,1700
836,22900
837,37800
838,27100
839,50200
840,157100
841,165400
842,66800
843,159300
844,181200
845,82100
846,74500
847,89800
848,96200
849,-147100
850,66700
851,56300
852,34100
853,-33600
854,12300
855,110100
856,-33300
857,-7300
858,11000
859,110900
860,57400
861,158900
862,38700
863,155600
864,60500
865,161200
866,64900
867,51100
868,165300
869,171100
870,162700
871,171900
872,70300
873,-165400
874,139100
875,141400
876,132700
877,-20900
878,33300
879,52400
880,26100
881,135900
882,174900
883,168000
884,3700
885,237100
886,89300
887,122500
888,258400
889,134100
890,138800
891,122400
892,150600
893,156900
894,140200
895,159200
896,161800
897,-37600
898,287500
899,138200
900,105400
901,-20500
902,215500
903,85700
904,72700
905,26000
906,75800
907,72300
908,165000
909,135000
910,109900
911,291200
912,301600
913,316100
914,328900
915,324200
916,193400
917,202100
918,360700
919,387800
920,404200
921,-53000
922,197400
923,176400
924,135800
925,88400
926,100500
927,249900
928,28600
929,33100
930,86000
931,222300
932,40600
933,316200
934,139300
935,171500
936,182100
937,190000
938,363900
939,359600
940,213400
941,219700
942,385200
943,409200
944,420000
945,72400
946,391800
947,185800
948,140300
949,800
950,92400
951,90800
952,64100
953,143500
954,71300
955,202800
956,174400
957,290700
958,128000
959,155200
960,167100
961,181500
962,358500
963,172600
964,204300
965,212000
966,379300
967,408100
968,409800
969,-59200
970,171400
971,144300
972,101100
973,24500
974,58800
975,172100
976,19600
977,102100
978,43900
979,43900
980,119300
981,228600
982,87700
983,244100
984,113600
985,123200
986,128100
987,116100
988,139100
989,291800
990,279700
991,310200
992,325600
993,-98500
994,135500
995,108200
996,61400
997,-25900
998,117900
999,131700
1000,-10200
1001,96700
1002,24500
1003,111300
1004,-41300
1005,54600
1006,34400
1007,53800
1008,149800
1009,157100
1010,63600
1011,140800
1012,154400
1013,155700
1014,142700
1015,60400
1016,61300
1017,-147700
1018,127300
1019,126300
1020,22100
1021,-38000
1022,17400
1023,25600
1024,-44500
1025,800
1026,17700
1027,112000
1028,-42100
1029,58600
1030,42200
1031,168900
1032,181500
1033,85200
1034,213200
1035,88200
1036,124600
1037,137300
1038,123800
1039,144800
1040,146100
1041,-54900
1042,253800
1043,246200
1044,78600
1045,22400
1046,51200
1047,174500
1048,26400
1049,7400
1050,163300
1051,46400
1052,138100
1053,111800
1054,96400
1055,274400
1056,140200
1057,149100
1058,154300
1059,294300
1060,328200
1061,335400
1062,318500
1063,336600
1064,346700
1065,-200
1066,300400
1067,288100
1068,246500
1069,39000
1070,192600
1071,75300
1072,35000
1073,124500
1074,51700
1075,46300
1076,113300
1077,105800
1078,83500
1079,119900
1080,256000
1081,131400
1082,131300
1083,108700
1084,136300
1085,143800
1086,124900
1087,143300
1088,148800
1089,-124200
1090,109900
